Entity,Year,A,O,R,W,Total_DDD,Access_pct,Watch_pct,Reserve_pct,Other_pct
Armenia,2016,5958454.849649999,66996.5,9097.5,4252700.441697,10287249.291346999,57.92077824595818,41.33952936548461,0.08843471896469211,0.651257669592525
Armenia,2017,8827702.950334001,55740.0,16710.0,4277344.2952344,13177497.245568402,66.99074024320333,32.45945884506159,0.1268070839902439,0.4229938277448352
Armenia,2018,8588726.7333297,73779.0,10066.666667,4833162.952044633,13505735.352041334,63.59318104090905,35.78600369445357,0.07453623519639355,0.5462790294409894
Armenia,2019,7226904.4500503,51626.5,15400.0,5271057.94014257,12564988.89019287,57.51620246708685,41.950358939486975,0.12256278246310184,0.41087581096307313
Armenia,2020,9131651.38329667,77212.0,24470.0,10042175.691663,19275509.074959673,47.374372047892464,52.09810881056593,0.12694865751581294,0.40057048402578466
Armenia,2021,7557015.38266,38139.5,22628.571429,7541393.5496029295,15159177.003691928,49.85109271314355,49.748040726526696,0.1492730866820075,0.25159347364775375
Armenia,2022,5192594.566707,61694.5,5138.75,4889447.3091871,10148875.1258941,51.164237438082985,48.17723391543206,0.050633690298236715,0.6078949561867313
Armenia,2023,9342294.16629667,64553.0,21675.0,5482426.0622414,14910948.22853807,62.653923969881745,36.76778953432741,0.14536298877703974,0.432923507013806
Austria,2016,21955766.133333698,453971.5,62732.9977778,14117948.292827101,36590418.923938595,60.00413982407168,38.583729588268525,0.17144651420418178,1.240684073455627
Austria,2017,23137287.974666297,188914.3333,70224.5679366,15115580.4261931,38512007.302096,60.078114841360296,39.24900695937093,0.18234460589328474,0.49053359337548325
Austria,2018,20779502.710333,179402.4167,65578.7707903,13734051.7785744,34758535.676397696,59.78244568122884,39.51274560711808,0.18866954408217593,0.5161391675709192
Austria,2019,23358375.100827,253113.25,279331.3719014,15175529.452344,39066349.1750724,59.79154846578702,38.84552760314562,0.7150178550076461,0.6479060760597191
Austria,2020,18464481.584900003,242541.0,272836.2093623,11095908.365313599,30075767.159575902,61.393218955750065,36.8931848236521,0.9071629259353107,0.8064332946625328
Austria,2021,18501253.9153331,384446.75,304557.9785744,11155738.407114,30345997.051021498,60.967691666965074,36.76181207148202,1.00361829621989,1.266877965333022
Austria,2022,21967985.2528703,350490.0,304788.4119009,13398907.418990001,36022171.0837612,60.98462305836272,37.19627944643856,0.8461133872030793,0.9729841079956475
Austria,2023,24647022.097,372714.0,307107.779,13804749.348,39131593.224,62.984969602218,35.27775950490392,0.7848077568475952,0.9524631360304769
Bangladesh,2016,494809954.68772334,570471.0,276856.9167,892740797.406793,1388398080.0112162,35.63891090109589,64.3000599222653,0.019940744710462536,0.04108843192835526
Bangladesh,2017,595974500.3586633,547689.0,578401.0,641214595.5129731,1238315185.8716364,48.12785203301561,51.781210698924696,0.046708706038589835,0.04422856202110513
Bangladesh,2018,491222970.5773333,605735.0,848298.0,688552637.7619029,1181229641.3392363,41.585730105824474,58.29117503191389,0.07181482501897174,0.05128003724265157
Bangladesh,2019,546084644.924303,637226.0,3219747.917,919483376.8526729,1469424995.6939762,37.16315201691528,62.574366132816586,0.2191161798958909,0.0433656703722433
Bangladesh,2020,619910078.308,548477.0,3496814.5003299997,897668582.9515431,1521623952.759873,40.740031542197194,58.994114894378505,0.2298080609198869,0.03604550250442561
Bangladesh,2021,918240982.172997,883337.5,5516049.72222,2498072269.688127,3422712639.083344,26.827872480083993,72.98515923198127,0.1611601762658429,0.025808111668894632
Bangladesh,2022,899766250.666403,917932.75,6532251.417,2149495709.206097,3056712144.0395,29.4357534588568,70.32051458942745,0.21370188323875053,0.03003006847700534
Bangladesh,2023,660950155.4,214618419.04,4331886.47,1131967651.2,2011868112.11,32.852558844267925,56.26450582850677,0.215316622591966,10.66761870463334
Belarus,2016,34515392.0,603738.0,97491.0,25467499.0,60684120.0,56.87714018098969,41.96732028082471,0.16065323185044125,0.9948863063351665
Belarus,2017,44408522.0,555700.0,240968.0,26093149.0,71298339.0,62.285493074389855,36.59713447181427,0.337971407721013,0.7794010460748602
Belarus,2018,41585152.0,1180192.0,443090.0,24339889.0,67548323.0,61.56355946838236,36.03329870972519,0.6559600302734385,1.7471817916190162
Belarus,2019,53852060.0,941312.0,261915.0,24869034.0,79924321.0,67.37881451629724,31.115727589352932,0.3277037536546604,1.1777541406951708
Belarus,2020,42821422.400037,623722.8,345175.41269300005,47403235.042096004,91193555.654826,46.95663206961584,51.98090446382042,0.37850855821382073,0.6839549083499218
Belarus,2021,45399469.05003,287262.15833,319047.0476527,22880305.707999997,68886083.9640127,65.90513850917623,33.2146993868211,0.46315166909382716,0.4170104349088428
Belarus,2022,39939294.203099996,555400.1,284618.547646,17594354.38129,58373667.232036,68.4200532482238,30.140909789601256,0.48758037852005764,0.9514565836548836
Belarus,2023,45697976.0633,523491.03333,233537.936503,21492049.79163,67947054.82476299,67.25527130080344,31.630583322645094,0.3437057531121837,0.770439623439302
Belgium,2016,63248682.9425023,2568347.055,111538.05901930001,34612868.5644139,100541436.6209355,62.908075583766006,34.426471042891926,0.11093740329156457,2.554515970050501
Belgium,2017,60097288.176477,2567207.3975,112618.3931173,32253329.6961254,95030443.66321969,63.24003746573782,33.939996966055034,0.11850770003390765,2.701457868173254
Belgium,2018,62048134.68790831,2589332.2875,116112.14822110001,28748490.441545,93502069.5651744,66.36017253570891,30.746368048576976,0.12418136706606857,2.769278048648046
Belgium,2019,61387932.665727,2485960.965,111914.1934887,26219987.7433768,90205795.5675925,68.05320243501221,29.06685493808409,0.12406541374034119,2.755877213163353
